"payment_id","payment_amount","date","time"
433086,316.69,2024-03-17,"16:24:00"
472296,315.59,2024-03-17,"12:55:00"
351105,735.01,2024-03-17,"22:21:00"
460313,150.08,2024-03-18,"01:36:00"
309192,977.8,2024-03-18,"02:29:00"
317692,856.25,2024-03-18,"00:46:00"
363978,588.08,2024-03-18,"00:29:00"
383242,900.57,2024-03-17,"15:01:00"
141042,19.25,2024-03-17,"17:58:00"
322049,786.71,2024-03-17,"12:31:00"
418672,908.72,2024-03-17,"23:55:00"
492994,119.67,2024-03-17,"13:48:00"
467832,471.16,2024-03-17,"15:23:00"
197454,677.6,2024-03-17,"23:09:00"
438242,470.8,2024-03-17,"21:05:00"
269336,876.27,2024-03-17,"23:07:00"
176383,407.07,2024-03-17,"14:33:00"
146437,571.02,2024-03-17,"20:32:00"
175175,657.17,2024-03-17,"21:28:00"
209663,292.8,2024-03-17,"16:56:00"
188460,893.03,2024-03-17,"13:03:00"
300421,147.33,2024-03-17,"20:27:00"
354940,561.62,2024-03-17,"13:12:00"
345597,260.4,2024-03-17,"19:44:00"
108175,82.87,2024-03-17,"16:26:00"
176368,765.02,2024-03-17,"20:47:00"
218646,610.31,2024-03-18,"01:30:00"
284944,339.66,2024-03-17,"23:04:00"
346145,910.57,2024-03-17,"22:16:00"
260204,594.13,2024-03-17,"17:48:00"
362174,946.96,2024-03-17,"12:40:00"
473874,903.31,2024-03-17,"22:58:00"
481021,393.1,2024-03-18,"03:19:00"
210607,721.3,2024-03-17,"22:42:00"
369731,829.07,2024-03-17,"22:40:00"
209984,914.68,2024-03-18,"02:11:00"
104619,139.31,2024-03-18,"00:32:00"
408123,53.97,2024-03-17,"23:46:00"
230609,988.35,2024-03-17,"22:33:00"
299854,395.58,2024-03-17,"16:57:00"
282644,713.94,2024-03-18,"00:07:00"
451695,530.68,2024-03-18,"00:53:00"
264098,393.03,2024-03-18,"02:40:00"
450048,721.38,2024-03-17,"16:22:00"
307863,881.38,2024-03-17,"22:26:00"
347084,129.95,2024-03-17,"15:29:00"
218953,373.38,2024-03-17,"16:43:00"
495665,792.03,2024-03-17,"14:20:00"
144499,223.44,2024-03-18,"03:26:00"
232744,624.52,2024-03-17,"14:10:00"
381994,383.95,2024-03-17,"17:36:00"
341671,607.99,2024-03-17,"22:55:00"
219044,568.87,2024-03-18,"04:13:00"
410577,697.5,2024-03-17,"19:38:00"
482025,816,2024-03-17,"18:19:00"
183528,459.15,2024-03-17,"22:29:00"
237078,376.27,2024-03-17,"14:32:00"
445823,824.43,2024-03-17,"14:48:00"
359794,517.5,2024-03-17,"21:31:00"
287063,744.17,2024-03-17,"12:30:00"
441110,850.85,2024-03-17,"14:24:00"
354807,445.9,2024-03-17,"13:04:00"
335074,411.85,2024-03-17,"23:27:00"
462407,852.41,2024-03-17,"23:57:00"
428739,729.75,2024-03-18,"00:02:00"
223544,618.92,2024-03-17,"22:23:00"
487058,703,2024-03-17,"17:00:00"
324360,750.69,2024-03-17,"13:57:00"
146467,269.23,2024-03-17,"16:13:00"
494419,283.43,2024-03-17,"15:47:00"
459796,207.47,2024-03-17,"20:13:00"
153271,943.57,2024-03-17,"16:14:00"
306526,278.43,2024-03-17,"19:12:00"
405837,503.42,2024-03-18,"01:39:00"
465870,46.32,2024-03-17,"15:40:00"
497199,803.72,2024-03-17,"17:18:00"
238951,411.17,2024-03-17,"15:30:00"
384262,465.52,2024-03-17,"13:44:00"
298703,931.84,2024-03-17,"20:11:00"
341597,395.98,2024-03-18,"00:51:00"
283594,748.36,2024-03-17,"16:12:00"
284989,785.77,2024-03-17,"17:46:00"
386665,215.38,2024-03-17,"23:18:00"
499548,65.96,2024-03-18,"01:44:00"
230616,338.2,2024-03-17,"23:29:00"
478917,686.97,2024-03-17,"14:35:00"
346078,770.1,2024-03-18,"01:47:00"
430573,656.52,2024-03-18,"04:40:00"
484401,934.47,2024-03-17,"13:26:00"
190231,13.48,2024-03-17,"18:03:00"
417880,384.61,2024-03-17,"20:18:00"
278889,647.27,2024-03-17,"14:22:00"
376560,108.08,2024-03-18,"00:28:00"
480031,24.91,2024-03-17,"21:44:00"
236667,157.08,2024-03-17,"16:19:00"
160100,747.86,2024-03-17,"21:36:00"
268238,854.22,2024-03-17,"14:50:00"
352801,331.7,2024-03-17,"12:19:00"
431375,274,2024-03-17,"14:39:00"
212242,251.11,2024-03-17,"23:24:00"
235984,956.69,2024-03-17,"20:14:00"
439051,502.3,2024-03-17,"14:01:00"
330772,697.51,2024-03-18,"02:07:00"
204023,915.98,2024-03-17,"14:34:00"
309845,612.83,2024-03-18,"01:56:00"
391513,269.98,2024-03-17,"16:55:00"
289173,919.74,2024-03-17,"23:37:00"
136085,714.5,2024-03-17,"18:13:00"
182170,53.39,2024-03-17,"12:04:00"
109181,637.17,2024-03-17,"20:42:00"
203745,854.21,2024-03-18,"04:09:00"
188851,127.9,2024-03-18,"00:19:00"
444728,952.52,2024-03-17,"12:35:00"
418662,50.43,2024-03-17,"13:55:00"
255742,178.89,2024-03-17,"21:02:00"
455791,32.92,2024-03-17,"19:55:00"
265205,396.01,2024-03-17,"21:10:00"
409943,712.18,2024-03-17,"14:05:00"
125195,659.2,2024-03-18,"02:05:00"
369214,491.28,2024-03-17,"12:46:00"
474727,89.92,2024-03-18,"02:33:00"
477238,968.21,2024-03-18,"01:45:00"
402303,564.67,2024-03-18,"00:30:00"
101497,719.74,2024-03-17,"23:48:00"
288408,290.59,2024-03-18,"02:23:00"
160586,804.23,2024-03-18,"04:01:00"
361420,632.93,2024-03-17,"22:30:00"
335756,909.87,2024-03-17,"15:59:00"
265670,402.16,2024-03-18,"04:11:00"
104517,315.2,2024-03-17,"19:04:00"
424313,734.38,2024-03-18,"01:15:00"
312953,698.06,2024-03-17,"12:06:00"
104694,440.95,2024-03-17,"20:37:00"
394245,809.44,2024-03-17,"20:09:00"
223756,312.56,2024-03-18,"03:02:00"
441032,915.41,2024-03-17,"17:57:00"
174983,633.53,2024-03-17,"14:56:00"
454699,779.39,2024-03-17,"15:08:00"
208359,719.97,2024-03-17,"23:45:00"
116435,666.54,2024-03-18,"02:41:00"
126690,706.06,2024-03-18,"02:06:00"
153704,200.71,2024-03-17,"17:55:00"
392380,602.1,2024-03-17,"18:05:00"
297837,769.5,2024-03-17,"19:41:00"
356591,244.01,2024-03-18,"00:55:00"
394219,694.64,2024-03-17,"18:39:00"
126714,101.32,2024-03-17,"13:01:00"
380531,739.67,2024-03-18,"02:15:00"
182525,945.23,2024-03-18,"02:42:00"
299687,667.45,2024-03-18,"00:23:00"
143754,670.74,2024-03-18,"04:14:00"
174658,425.82,2024-03-18,"03:21:00"
435942,146.59,2024-03-17,"23:38:00"
333417,474.67,2024-03-17,"22:17:00"
120399,102.82,2024-03-17,"14:12:00"
236043,756.53,2024-03-17,"13:56:00"
475780,372.66,2024-03-17,"23:14:00"
478267,572.46,2024-03-18,"00:44:00"
474920,389.19,2024-03-17,"19:35:00"
137491,211.21,2024-03-18,"00:14:00"
470751,539.91,2024-03-17,"20:45:00"
237444,391.99,2024-03-17,"18:32:00"
213792,863.66,2024-03-17,"20:57:00"
304467,102.63,2024-03-18,"03:29:00"
444899,72.81,2024-03-17,"13:58:00"
231673,175.1,2024-03-17,"16:42:00"
174058,936.3,2024-03-17,"19:45:00"
409749,448.08,2024-03-18,"03:46:00"
343474,677.65,2024-03-17,"18:40:00"
259648,45.72,2024-03-18,"03:17:00"
420406,473.74,2024-03-17,"19:11:00"
102776,55.2,2024-03-18,"01:26:00"
117748,623.83,2024-03-17,"23:01:00"
369631,866.24,2024-03-17,"13:21:00"
176661,203.91,2024-03-18,"01:29:00"
200099,289.28,2024-03-18,"04:38:00"
209678,866.54,2024-03-17,"17:51:00"
371882,41.71,2024-03-17,"16:40:00"
119511,784.53,2024-03-17,"21:37:00"
180142,460.52,2024-03-18,"00:54:00"
332424,89.32,2024-03-17,"13:14:00"
411896,907.69,2024-03-17,"14:36:00"
321570,197.12,2024-03-17,"12:52:00"
400388,748.63,2024-03-17,"14:31:00"
355810,437.25,2024-03-18,"02:22:00"
235753,673.83,2024-03-18,"03:12:00"
134826,195.58,2024-03-17,"21:58:00"
186478,882.93,2024-03-17,"21:45:00"
233819,58.38,2024-03-17,"17:01:00"
407002,228,2024-03-17,"19:21:00"
282513,269.18,2024-03-17,"21:32:00"
178911,769.54,2024-03-18,"04:35:00"
175935,392.1,2024-03-18,"03:49:00"
429232,285.79,2024-03-17,"14:13:00"
328735,86.84,2024-03-17,"13:02:00"
127364,505.3,2024-03-17,"21:40:00"
176140,456.94,2024-03-18,"04:32:00"
187937,986.74,2024-03-17,"17:54:00"
233953,150.71,2024-03-17,"22:08:00"
490765,835.5,2024-03-17,"15:13:00"
235086,39.23,2024-03-17,"21:55:00"
258984,780.97,2024-03-17,"21:11:00"
369800,236.39,2024-03-17,"12:29:00"
393494,142.52,2024-03-17,"23:30:00"
183191,198.7,2024-03-17,"19:52:00"
142154,223.71,2024-03-18,"03:43:00"
324070,934.83,2024-03-17,"19:05:00"
337706,988.93,2024-03-17,"20:58:00"
477312,316.92,2024-03-17,"16:44:00"
241115,145.76,2024-03-18,"04:39:00"
193925,664.38,2024-03-17,"15:38:00"
376809,589.06,2024-03-17,"23:51:00"
126225,350.62,2024-03-18,"01:38:00"
285442,815.82,2024-03-18,"00:21:00"
191193,290.35,2024-03-17,"15:12:00"
401063,847.38,2024-03-17,"20:54:00"
221466,145.65,2024-03-17,"12:57:00"
458998,863.33,2024-03-17,"21:39:00"
119359,76.45,2024-03-17,"18:21:00"
456550,440.86,2024-03-17,"23:39:00"
384487,683.33,2024-03-17,"22:13:00"
460906,213.77,2024-03-17,"15:37:00"
216240,943.11,2024-03-18,"02:39:00"
314907,385.53,2024-03-18,"04:33:00"
283024,629.98,2024-03-17,"14:43:00"
448557,191.67,2024-03-17,"12:02:00"
195386,662.62,2024-03-17,"16:35:00"
136384,737.35,2024-03-18,"03:20:00"
201137,500.72,2024-03-17,"13:27:00"
305146,870.03,2024-03-17,"22:35:00"
201449,833.52,2024-03-17,"17:20:00"
398814,983.47,2024-03-17,"15:44:00"
129342,670.18,2024-03-17,"23:02:00"
278230,646.43,2024-03-18,"03:59:00"
170507,54.69,2024-03-18,"02:56:00"
297467,198.94,2024-03-18,"01:01:00"
427196,42.26,2024-03-17,"20:40:00"
331958,848.72,2024-03-17,"17:40:00"
183652,430.21,2024-03-18,"04:04:00"
181489,819.03,2024-03-17,"21:29:00"
343517,160.14,2024-03-18,"04:25:00"
255314,411.79,2024-03-17,"22:56:00"
474417,725.28,2024-03-18,"03:05:00"
174440,69.04,2024-03-18,"01:58:00"
267900,337.05,2024-03-17,"12:37:00"
483314,779,2024-03-18,"04:03:00"
141217,842.05,2024-03-17,"18:07:00"
298570,871.88,2024-03-17,"15:04:00"
385437,953.51,2024-03-17,"19:50:00"
389246,390.12,2024-03-17,"21:03:00"
314426,951.13,2024-03-17,"18:14:00"
495138,707.06,2024-03-17,"18:01:00"
498393,427.76,2024-03-17,"18:02:00"
206466,397.4,2024-03-17,"23:33:00"
147694,218.46,2024-03-17,"17:19:00"
148774,754.96,2024-03-17,"19:39:00"
462375,450.63,2024-03-17,"23:32:00"
161448,458.78,2024-03-17,"22:41:00"
274360,92.42,2024-03-17,"15:43:00"
219690,371.52,2024-03-17,"14:21:00"
322247,896,2024-03-17,"15:51:00"
312618,548.99,2024-03-18,"03:54:00"
358065,40.52,2024-03-17,"15:22:00"
464941,394.55,2024-03-17,"17:49:00"
243707,122.26,2024-03-17,"20:41:00"
431483,284.48,2024-03-17,"13:09:00"
399390,722.32,2024-03-18,"04:31:00"
381019,382.26,2024-03-17,"22:07:00"
379160,638.12,2024-03-17,"21:17:00"
126565,501.78,2024-03-18,"02:53:00"
162505,809.41,2024-03-18,"02:03:00"
192119,586.37,2024-03-17,"18:44:00"
337791,180.29,2024-03-17,"23:34:00"
452057,937.92,2024-03-17,"14:51:00"
155991,63.27,2024-03-18,"02:34:00"
244834,96.36,2024-03-17,"17:53:00"
115827,843.14,2024-03-17,"16:37:00"
235821,426.68,2024-03-17,"14:58:00"
380950,720.31,2024-03-18,"03:06:00"
453713,738.79,2024-03-18,"02:19:00"
141608,987.6,2024-03-18,"01:55:00"
244868,961.36,2024-03-17,"17:17:00"
418910,150.38,2024-03-17,"19:34:00"
108847,668.3,2024-03-17,"17:37:00"
348281,42.82,2024-03-17,"21:52:00"
270018,499.57,2024-03-17,"22:27:00"
464057,793.44,2024-03-17,"23:35:00"
412355,385.42,2024-03-17,"23:50:00"
107195,948.82,2024-03-17,"14:55:00"
256316,664.07,2024-03-17,"19:51:00"
420299,438.44,2024-03-17,"20:34:00"
474740,840.3,2024-03-17,"12:41:00"
164796,806.65,2024-03-17,"12:01:00"
306940,432.79,2024-03-17,"16:27:00"
397676,336.1,2024-03-18,"01:35:00"
296534,569.39,2024-03-17,"18:10:00"
329892,862.62,2024-03-17,"20:46:00"
358631,590.01,2024-03-17,"12:08:00"
461893,648.67,2024-03-18,"02:09:00"
233718,769.41,2024-03-17,"15:11:00"
442495,695.93,2024-03-18,"01:49:00"
265867,868.13,2024-03-17,"17:29:00"
138581,103.75,2024-03-17,"14:46:00"
299433,613.84,2024-03-18,"01:51:00"
473801,248.47,2024-03-17,"21:57:00"
317000,474.95,2024-03-17,"12:56:00"
121085,291.08,2024-03-17,"22:31:00"
194387,919.26,2024-03-18,"01:54:00"
380447,405.75,2024-03-18,"03:41:00"
233832,569.69,2024-03-17,"14:08:00"
278722,90.07,2024-03-17,"14:11:00"
199006,943.27,2024-03-18,"03:35:00"
493291,738.42,2024-03-17,"13:39:00"
247100,480.56,2024-03-17,"19:22:00"
402445,190.02,2024-03-17,"20:59:00"
175132,733.06,2024-03-17,"13:36:00"
366440,618.48,2024-03-18,"03:13:00"
163753,70.43,2024-03-17,"12:20:00"
147528,62.76,2024-03-17,"14:26:00"
332951,460.7,2024-03-18,"01:07:00"
418031,189.15,2024-03-17,"18:15:00"
215087,496.39,2024-03-17,"15:24:00"
183617,982.05,2024-03-17,"16:52:00"
463677,231.88,2024-03-17,"17:11:00"
330356,715.4,2024-03-17,"19:25:00"
286653,158.62,2024-03-17,"12:21:00"
119878,530.47,2024-03-17,"22:34:00"
475747,830.19,2024-03-17,"14:07:00"
268365,135.59,2024-03-17,"23:20:00"
262930,821.49,2024-03-17,"14:49:00"
482511,253.54,2024-03-17,"17:03:00"
201915,106.05,2024-03-17,"22:59:00"
305553,172.06,2024-03-17,"17:31:00"
237600,667.71,2024-03-17,"21:25:00"
320592,680.65,2024-03-17,"13:22:00"
115523,141.62,2024-03-18,"03:23:00"
238124,979.73,2024-03-17,"22:57:00"
182254,155.15,2024-03-17,"15:49:00"
364365,942.4,2024-03-17,"13:41:00"
449814,703.35,2024-03-17,"16:04:00"
188939,572.28,2024-03-17,"20:56:00"
190726,253.89,2024-03-17,"15:03:00"
197699,347.46,2024-03-18,"01:34:00"
338647,841.36,2024-03-18,"04:20:00"
120994,922.31,2024-03-17,"22:38:00"
140458,520.21,2024-03-17,"13:28:00"
242237,889.23,2024-03-17,"15:46:00"
266117,707.03,2024-03-18,"00:33:00"
378465,429.53,2024-03-17,"17:09:00"
490288,307.27,2024-03-17,"15:32:00"
404754,963.75,2024-03-17,"20:06:00"
232698,133.57,2024-03-18,"03:38:00"
458846,683.54,2024-03-18,"04:08:00"
153390,821.64,2024-03-17,"20:51:00"
263106,224.11,2024-03-17,"15:39:00"
438081,598.15,2024-03-18,"01:43:00"
390756,170.08,2024-03-17,"21:48:00"
205746,411.47,2024-03-18,"01:37:00"
153970,246.5,2024-03-18,"04:37:00"
490125,532.32,2024-03-17,"13:05:00"
271204,674.25,2024-03-18,"03:52:00"
385391,908.49,2024-03-18,"02:21:00"
498183,339.47,2024-03-17,"22:25:00"
312002,250.11,2024-03-18,"03:50:00"
386871,316.89,2024-03-18,"01:19:00"
152550,234.54,2024-03-18,"04:17:00"
130540,131.77,2024-03-17,"20:36:00"
246617,275.08,2024-03-17,"21:34:00"
442796,924.42,2024-03-17,"22:15:00"
460259,65.92,2024-03-17,"22:48:00"
424276,506.44,2024-03-17,"22:37:00"
372693,795.85,2024-03-18,"02:28:00"
475533,839.55,2024-03-17,"13:08:00"
317086,580.51,2024-03-17,"22:06:00"
449719,249.43,2024-03-17,"16:59:00"
465725,586.24,2024-03-17,"22:02:00"
423261,146.14,2024-03-17,"21:16:00"
303118,487.89,2024-03-17,"12:10:00"
452687,102.75,2024-03-17,"23:31:00"
156470,311.92,2024-03-17,"13:25:00"
199373,679.94,2024-03-17,"20:01:00"
149407,213.08,2024-03-17,"19:28:00"
379854,400.97,2024-03-17,"19:10:00"
344831,804.82,2024-03-18,"01:02:00"
435314,236.04,2024-03-18,"01:57:00"
348914,86.14,2024-03-17,"22:24:00"
147504,780.44,2024-03-17,"13:17:00"
107788,673.44,2024-03-17,"12:59:00"
476685,516,2024-03-18,"03:42:00"
484288,221.86,2024-03-18,"01:53:00"
497513,195.82,2024-03-17,"23:06:00"
125947,615.04,2024-03-17,"16:36:00"
409677,48.35,2024-03-17,"15:16:00"
296576,237.15,2024-03-17,"16:51:00"
303955,825.7,2024-03-17,"21:47:00"
430846,307.36,2024-03-17,"15:00:00"
455160,25.93,2024-03-17,"21:41:00"
493971,961.97,2024-03-17,"22:12:00"
480896,96.87,2024-03-17,"13:23:00"
113156,750.54,2024-03-18,"01:42:00"
259747,837.65,2024-03-18,"01:27:00"
295821,25.82,2024-03-18,"00:24:00"
180649,854.33,2024-03-18,"00:04:00"
333087,554.79,2024-03-17,"17:52:00"
204651,346.29,2024-03-17,"21:09:00"
359300,332.44,2024-03-17,"22:05:00"
376743,642.83,2024-03-18,"02:38:00"
127524,136.57,2024-03-18,"03:45:00"
256005,318.01,2024-03-18,"03:48:00"
100886,587.25,2024-03-17,"16:47:00"
128359,761.6,2024-03-18,"03:39:00"
231985,556.19,2024-03-17,"15:07:00"
192957,690.91,2024-03-17,"23:26:00"
245476,377.55,2024-03-17,"17:41:00"
407676,907.68,2024-03-18,"01:25:00"
454827,975.98,2024-03-17,"23:19:00"
458897,768.43,2024-03-18,"00:38:00"
347302,22.14,2024-03-17,"16:10:00"
398377,527.38,2024-03-17,"17:45:00"
314783,801.06,2024-03-18,"02:24:00"
163966,215.38,2024-03-17,"19:01:00"
367942,392.42,2024-03-18,"01:22:00"
453611,546.96,2024-03-17,"13:24:00"
383017,746.81,2024-03-18,"01:40:00"
446332,340,2024-03-18,"03:57:00"
492571,331.67,2024-03-17,"13:45:00"
120473,429.51,2024-03-17,"13:51:00"
224361,283.54,2024-03-17,"14:30:00"
484372,629.83,2024-03-18,"02:57:00"
495004,53.16,2024-03-17,"19:29:00"
254577,610.47,2024-03-17,"19:59:00"
476575,422.88,2024-03-17,"15:35:00"
456113,53.18,2024-03-17,"20:52:00"
263709,993.47,2024-03-17,"18:04:00"
236554,630.3,2024-03-17,"22:45:00"
303454,840.45,2024-03-17,"15:15:00"
141124,403.11,2024-03-17,"18:33:00"
453297,953.56,2024-03-18,"01:23:00"
122848,384.61,2024-03-18,"01:06:00"
138853,821.7,2024-03-17,"17:59:00"
367104,17.15,2024-03-17,"16:33:00"
439367,875.01,2024-03-17,"17:24:00"
184795,83.2,2024-03-17,"23:41:00"
173716,818.54,2024-03-17,"19:23:00"
219313,590.18,2024-03-18,"00:45:00"
365147,685.92,2024-03-17,"14:04:00"
239461,717.02,2024-03-17,"21:30:00"
392917,287.3,2024-03-17,"14:41:00"
278939,676.78,2024-03-17,"12:43:00"
164789,304.07,2024-03-17,"17:50:00"
322382,575.34,2024-03-17,"19:09:00"
450321,64.16,2024-03-17,"21:56:00"
429244,354.13,2024-03-18,"00:01:00"
281179,502.7,2024-03-17,"18:49:00"
352368,536.37,2024-03-18,"04:00:00"
308855,817.61,2024-03-17,"17:07:00"
355154,515.22,2024-03-17,"20:26:00"
133036,850.46,2024-03-17,"18:46:00"
339493,598.25,2024-03-18,"04:18:00"
289531,542.52,2024-03-17,"18:22:00"
313483,630.77,2024-03-17,"19:08:00"
283314,299.05,2024-03-18,"04:15:00"
285406,571.57,2024-03-17,"23:25:00"
358453,999.5,2024-03-17,"19:27:00"
292666,921.25,2024-03-17,"17:10:00"
222854,771.65,2024-03-17,"20:55:00"
303141,845.3,2024-03-18,"00:35:00"
413539,923.06,2024-03-17,"20:21:00"
102436,604.78,2024-03-18,"01:33:00"
257290,374.12,2024-03-17,"21:06:00"
118770,749.53,2024-03-17,"21:23:00"
333230,490.01,2024-03-17,"23:15:00"
345450,14.76,2024-03-17,"23:11:00"
405168,676.41,2024-03-17,"17:14:00"
403656,409.61,2024-03-17,"22:28:00"
118670,953.65,2024-03-17,"15:21:00"
331933,143.03,2024-03-17,"20:19:00"
252627,383.94,2024-03-17,"18:28:00"
495530,900.86,2024-03-18,"03:34:00"
227981,805.31,2024-03-17,"15:58:00"
288405,511.36,2024-03-18,"01:52:00"
155240,27.91,2024-03-18,"02:00:00"
142774,257.77,2024-03-17,"18:41:00"
171111,312.93,2024-03-17,"13:59:00"
